"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","(Event #%4) - 0.5 + (Event #/(4956 + 1))","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
649682,351906,144,394400,202324,149,7251,3290,67,0.56395,337,228,0,100,87,0,124,109,0,1808,1007,5,0.926155
354480,228629,125,182050,113161,126,2047,1348,27,-0.435445,190,161,0,108,92,0,178,138,0,724,526,0,0.935914
292682,224534,112,182047,147307,113,1388,816,0,2.56516,223,324,0,-72,67,0,20,65,0,156,228,0,0.939818
424290,244961,149,169783,100452,132,262,174,0,-0.434638,268,220,0,40,86,0,116,99,0,863,488,0,0.940794
542692,292619,147,253740,155177,134,-53,49,0,0.566371,195,104,0,16,101,0,-14,44,0,7,75,0,0.950553
187223,147048,113,93720,61888,120,961,778,0,1.56657,169,186,0,-34,53,0,-6,54,0,86,116,0,0.952505
236168,183407,122,109154,81418,115,617,542,0,2.56677,203,185,0,31,99,0,24,50,0,536,467,0,0.967144
228620,164023,127,104924,71635,122,1509,845,0,-0.432217,120,159,0,-7,84,0,122,96,0,431,271,0,0.970072
324510,230045,121,156154,105488,121,2448,1614,30,1.56819,121,148,0,75,81,0,109,80,0,515,396,0,0.971047
405783,249406,129,350799,248897,129,2616,1220,34,2.56839,544,391,0,32,56,0,390,204,0,2127,1346,27,0.977879
394914,257678,135,194516,104026,142,1925,1131,15,0.568792,116,171,0,14,51,0,166,103,0,498,306,0,0.996422
222743,168130,132,72953,56706,113,324,224,0,2.5692,69,117,0,91,86,0,36,91,0,265,184,0,1.00325
195921,163527,121,153540,120078,109,368,169,0,0.569599,164,239,0,69,66,0,127,107,0,16,72,0,1.00423
350163,220105,127,137002,94043,123,1346,733,0,2.57,138,101,0,-111,49,0,90,59,0,535,323,0,1.00716
139404,109800,116,127962,89882,107,895,747,0,-0.429796,119,209,0,166,108,0,18,49,0,21,112,0,1.00911
551669,279469,143,246374,123761,142,16951,10295,78,0.570405,488,343,0,34,53,0,256,198,0,1901,1067,13,1.01008
234709,155578,113,160604,123329,118,928,646,0,-0.428989,172,179,0,140,163,0,91,54,0,430,342,0,1.01692
290916,196477,122,114851,84251,117,773,635,0,1.57141,268,215,0,6,76,0,178,141,0,771,593,0,1.02472
355318,221313,137,114969,68397,125,7846,4307,64,2.57162,337,311,0,-34,60,0,350,164,0,1425,911,0,1.03058
350335,245081,128,137694,94678,120,6182,4181,52,1.57222,94,258,0,137,98,0,157,96,0,885,671,0,1.04229
272182,190772,119,143389,114224,118,10579,7734,57,1.57303,510,427,0,79,83,0,260,231,0,2373,1810,31,1.04717
494570,284302,145,247269,153099,133,3043,1499,42,-0.426568,307,324,0,174,89,0,292,199,0,1220,752,0,1.07352
279172,159915,128,271204,140467,135,633,421,0,-0.425762,312,275,0,76,72,0,49,70,0,668,562,0,1.08718
280809,200774,117,80835,57080,115,897,499,0,1.57464,90,93,0,173,93,0,136,85,0,393,239,0,1.10182
377716,241463,126,200393,121869,132,1867,885,0,1.57545,176,156,0,288,112,0,127,68,0,413,283,0,1.12134
254507,172562,119,119451,81063,123,2976,1809,39,-0.423341,112,93,0,38,59,0,3,88,0,483,327,0,1.13305
189030,138259,115,93246,72105,112,335,262,0,0.577668,44,106,0,73,81,0,-67,83,0,84,103,0,1.14769
444399,294822,141,227641,141602,130,7083,3728,60,0.578475,308,275,0,125,110,0,166,119,0,1273,788,0,1.15745
363115,250002,128,164851,113606,124,2360,1303,26,-0.420113,392,247,0,131,107,0,244,149,0,1002,777,0,1.17306
421936,219732,131,232435,133869,136,5304,2496,59,0.580089,290,219,0,-20,55,0,159,94,0,781,466,0,1.17502
341608,221704,134,158351,108697,124,2472,1261,34,0.581703,137,194,0,114,131,0,82,99,0,560,400,0,1.18966
391795,248552,127,145083,87508,129,2040,1119,20,1.58352,75,116,0,205,113,0,126,101,0,382,251,0,1.22284
375219,219847,131,411736,258166,137,806,426,0,2.58372,319,338,0,95,79,0,151,135,0,1157,700,0,1.22576
138149,93936,119,204208,118255,117,807,437,0,1.58433,150,113,0,-112,35,0,152,88,0,131,91,0,1.22674
144268,107078,126,100865,87275,105,14,93,0,-0.415271,23,116,0,4,81,0,92,111,0,195,104,0,1.23064
183086,135403,129,133170,106448,114,129,60,0,2.58533,39,62,0,68,94,0,104,63,0,219,166,0,1.23943
427506,270205,141,191839,116164,131,837,372,0,-0.414464,203,190,0,146,142,0,94,128,0,992,668,0,1.24138
438400,250479,137,526013,305058,140,897,522,0,0.585737,513,423,0,-66,98,0,120,117,0,1336,796,0,1.24333
313896,205662,135,143660,85419,125,1358,758,0,1.58594,215,170,0,37,102,0,69,105,0,637,479,0,1.24528
365147,230600,128,231658,150783,126,901,662,0,2.58614,166,117,0,131,113,0,139,90,0,396,243,0,1.24723
233554,180506,112,51687,45198,66,135,163,0,1.58755,-49,30,0,108,101,0,-35,99,0,246,146,0,1.26773
416128,221878,139,196277,113623,136,3336,1499,47,0.588158,283,387,0,35,75,0,114,139,0,1800,1221,19,1.28042
370065,262620,128,126329,81268,122,1120,646,0,-0.411237,249,191,0,-10,70,0,174,157,0,909,698,0,1.2853
172674,103114,118,146315,81879,132,70,50,0,0.588965,32,69,0,164,97,0,-41,32,0,102,62,0,1.28725
257307,181682,126,122861,83267,119,3168,1829,40,-0.41043,104,133,0,119,111,0,167,119,0,594,509,0,1.30969
354981,216379,146,236379,147008,146,693,288,0,2.59018,332,241,0,111,117,0,-56,37,0,619,425,0,1.32921
448537,257326,135,308095,177436,142,7253,4344,63,0.592193,418,329,0,166,105,0,368,192,0,1871,1232,21,1.36825
458288,242786,141,202247,91024,143,6403,3272,64,1.59239,422,320,0,17,91,0,225,138,0,1286,697,0,1.36825
199744,148086,117,62336,44687,108,1656,1098,15,0.594614,125,98,0,-5,83,0,127,109,0,663,553,0,1.40241
272006,191265,120,320068,238317,125,1141,670,0,1.59562,238,232,0,-69,54,0,-56,46,0,169,133,0,1.42681
230681,178596,121,109913,92469,111,2800,1995,35,1.59643,254,329,0,119,94,0,347,152,0,1563,1178,16,1.44535
547765,282035,141,303621,173743,142,15002,7006,80,-0.403167,1284,1014,4,-39,113,0,688,393,0,4916,2860,52,1.44632
288787,211310,117,111745,77056,120,2218,1295,28,1.59724,118,218,0,47,54,0,-27,69,0,548,400,0,1.44925
149533,105492,122,93168,66512,111,359,268,0,2.59744,227,273,0,26,76,0,-25,58,0,95,72,0,1.45023
405013,247407,128,158497,90745,132,7350,3376,66,0.597841,512,422,0,-44,78,0,328,202,0,2218,1312,27,1.45901
274975,171530,132,164575,81348,128,2445,1402,29,0.599455,197,165,0,-37,34,0,140,123,0,773,551,0,1.49707
269367,186401,124,115087,80095,117,1487,856,0,2.59986,174,173,0,-12,112,0,90,78,0,508,296,0,1.49805
249781,151845,137,256458,176338,123,1107,824,0,0.600262,508,436,0,340,259,0,61,61,0,336,335,0,1.50488
396212,254090,130,130845,81082,124,2111,1292,20,1.60046,239,236,0,42,103,0,139,147,0,1146,790,0,1.50488
152060,125141,113,130088,86162,116,1006,554,0,0.601069,31,97,0,33,64,0,127,100,0,36,49,0,1.52147
183042,135039,119,242101,157419,121,506,346,0,1.60127,133,115,0,-105,83,0,41,93,0,72,86,0,1.53513
244163,180143,114,96932,70882,114,772,512,0,0.601876,13,109,0,16,116,0,-14,42,0,328,247,0,1.55758
