"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
80069.5,62146,84437.2,19031.9,15062,82809.3,48.72,36.12,2.1,29.76,34.2,69.62,0.455613
125206,85410,96071.5,49855.7,36442,89658.7,110.88,111.72,36.12,75.33,90,131.57,0.455613
58564.8,44429,86387.3,14937.7,11600,84393,65.52,39.06,2.94,66.03,20.7,69.62,0.456641
65542.4,50359,85295.3,18355.7,14631,82219.8,54.6,34.02,28.56,20.46,27.9,58.41,0.45767
106413,64943,107384,37562.3,27083,90894,127.68,54.18,10.92,106.02,77.4,99.12,0.460755
87792.6,63375,90786.2,22086.1,16843,85936.9,57.12,67.62,32.76,69.75,18.9,40.71,0.460755
39577.3,22978,112879,37112.9,25658,94794.2,67.2,70.98,25.2,67.89,46.8,76.7,0.461784
112276,79375,92701.1,46600.7,34719,87964,70.56,80.64,62.58,79.05,35.1,46.61,0.461784
68528.6,42389,105949,64338.1,40941,102989,61.32,102.9,114.24,46.5,8.1,176.41,0.46384
58431.8,40996,93408.8,18945.4,14952,83039.3,21,18.9,28.98,49.29,43.2,37.17,0.464869
88319.7,55583,104135,33713.4,24875,88821.8,81.48,82.32,-15.12,90.21,72,77.88,0.465897
68530,45795,98071.5,25571.3,19767,84779.6,39.48,27.3,-10.92,24.18,29.7,49.56,0.467954
99868.3,70075,93399.5,27537.7,21078,85620.6,39.48,36.12,-43.68,42.78,6.3,73.75,0.468983
117699,70636,109201,42168.8,27617,100068,115.08,99.12,89.46,47.43,72,306.8,0.470011
108510,64725,109869,41920.2,28841,95256.1,115.08,125.16,76.44,73.47,83.7,117.41,0.47104
66714.2,53691,81432.3,9490.32,8143,76379.4,6.72,24.36,14.7,32.55,-12.6,57.82,0.480296
85098.3,61057,91340.9,30131.6,22333,88421,44.52,103.74,49.98,62.31,71.1,105.61,0.481324
57437.8,35174,107018,30187.9,20786,95179.2,76.44,91.98,9.24,90.21,52.2,112.69,0.481324
53071.2,40152,86622.7,23670.4,19809,78310.9,25.2,22.26,-31.08,53.01,-2.7,56.64,0.483381
44931.6,33686,87414.3,17146.1,12082,93004.9,23.52,18.06,13.44,9.3,27.9,57.23,0.485438
77546,58031,87574.8,23929.1,18539,84590.1,33.6,36.96,39.48,46.5,46.8,88.5,0.485438
103913,75587,90095.3,21337.7,16975,82379.2,27.72,6.72,24.78,40.92,34.2,55.46,0.485438
76150.2,57147,87328.8,17801.3,13718,85043.4,15.96,19.32,24.78,52.08,40.5,50.15,0.485438
108262,78864,89965.7,27921.6,21347,85720.2,50.4,55.86,4.2,106.02,82.8,100.89,0.486467
76269.2,57202,87381.2,23263,16034,95083,83.16,44.52,-11.76,33.48,66.6,98.53,0.488524
80512.6,57291,92099.5,43459.1,24390,116775,123.48,62.16,52.5,45.57,100.8,148.09,0.488524
57015.7,41015,91102.8,26556.6,20979,82959.8,91.56,14.7,24.36,60.45,71.1,75.52,0.489552
74461.1,53492,91226.4,29112.7,22060,86488.3,19.32,70.98,7.98,10.23,29.7,68.44,0.495723
112895,70754,104569,38474.5,28110,89700,64.68,68.88,39.48,106.95,114.3,87.32,0.508065
64894.9,46042,92371.1,34799.5,23870,95543.4,34.44,44.52,-18.06,14.88,27.9,61.36,0.509093
69412.7,45871,99170.1,20710.2,15807,85864.7,52.92,24.36,-26.88,45.57,52.2,37.76,0.510122
77572.6,59857,84932.4,25639.3,20229,83063.8,0.84,17.64,14.7,35.34,29.7,48.38,0.51115
79022.3,55871,92692.2,19567,15307,83774.8,15.96,40.74,17.64,30.69,8.1,12.98,0.51115
69646.5,52129,87558.8,20136.5,16173,81596.8,60.48,51.66,-33.18,14.88,45.9,57.82,0.513207
48825.7,33865,94488.1,48766.2,32948,96999.6,88.2,139.02,-1.68,14.88,58.5,61.95,0.514236
51319.1,36809,91370.3,10858.7,8580,82941.1,12.6,7.56,7.98,23.25,19.8,0,0.515264
48678,38695,82443.8,44081.5,34263,84316.2,41.16,68.46,53.76,29.76,27,86.14,0.517321
73866.1,58359,82950.2,28867.4,18395,102846,19.32,67.62,-15.96,35.34,33.3,73.16,0.521435
75535.6,48674,101703,50787.2,38686,86036.1,63,49.56,9.24,60.45,43.2,139.24,0.522463
91842.1,63455,94854,23848.4,16722,93465.6,60.48,46.62,49.14,48.36,55.8,78.47,0.522463
61891.9,34311,118217,30916.2,17043,118883,45.36,57.96,104.16,46.5,27,64.31,0.522463
76235.6,52653,94888.7,15936.5,12576,83048.1,86.52,26.88,26.04,103.23,47.7,71.98,0.52452
77749,50912,100082,31163.2,20264,100785,57.12,94.08,67.2,47.43,73.8,96.76,0.525549
89371.1,57219,102362,22624.6,17211,86149.7,23.52,31.5,130.2,58.59,13.5,86.14,0.526577
92516.2,56349,107600,37282.6,25008,97702.7,18.48,94.08,112.14,77.19,51.3,79.06,0.526577
86011.8,57899,97356.9,29796.5,21003,92974.4,38.64,36.54,-12.6,52.08,64.8,94.4,0.526577
44354.8,36722,79157.9,25124.4,22202,74162.4,33.6,42.42,77.7,22.32,47.7,21.24,0.528634
108648,72263,98534.3,20486.8,15031,89323.4,96.6,59.22,-18.9,82.77,106.2,93.22,0.528634
70469,51254,90105.3,22634.6,17222,86133.1,-2.52,60.06,27.72,31.62,-2.7,79.06,0.533777
79400.3,59918,86845,18391.8,14199,84888,22.68,13.86,-23.1,36.27,21.6,51.92,0.533777
82212.9,62914,85639.2,28043.4,23158,79361.4,30.24,38.64,20.16,28.83,35.1,82.01,0.534805
73780.7,58400,82796.1,17020.9,13800,80832.1,62.16,42,24.78,32.55,45,30.68,0.534805
92121.4,62067,97270.2,35814.2,29559,79404.7,59.64,57.54,13.44,16.74,44.1,67.26,0.535833
48596.1,35789,88988.1,13149.4,9632,89468.1,-11.76,17.64,18.9,4.65,22.5,31.86,0.538919
97401.5,77117,82774.3,38261.2,28384,88341.4,26.04,112.56,131.04,27.9,22.5,81.42,0.538919
92404.2,68966,87808.5,40682.9,31766,83932.3,62.16,78.12,-12.18,43.71,40.5,129.8,0.539947
69386.1,45891,99088.9,30995.2,20583,98688.2,88.2,49.56,57.12,63.24,54.9,61.95,0.539947
70256.2,51494,89414.5,17618.2,14062,82109.5,47.04,66.78,73.5,53.01,37.8,67.85,0.539947
69249.6,52334,86718.8,17733.2,13978,83142.5,33.6,22.26,-5.88,15.81,45,21.24,0.539947
69286.7,47493,95609.3,21877.8,16665,86035.6,52.92,52.5,39.48,64.17,45,61.36,0.540976
87158.4,55182,103512,27620,19278,93895,50.4,52.5,21.84,63.24,18,75.52,0.540976
103697,68549,99139.4,29737.7,19373,100598,35.28,63.42,11.34,65.1,8.1,93.22,0.543033
97654.9,65759,97323.7,46347,32107,94602.3,103.32,91.98,124.74,52.08,70.2,164.02,0.543033
61332.6,44575,90173.7,20997.5,16491,83445,44.52,78.96,11.76,63.24,34.2,105.02,0.544061
71262.1,50572,92348.2,23794.7,18264,85381.5,70.56,34.02,27.3,40.92,64.8,51.33,0.544061
77433.3,54767,92659.2,57375.4,43083,87276.9,73.08,94.92,15.96,69.75,48.6,56.64,0.54509
89285,56991,102672,36404.8,26735,89239.7,54.6,97.86,38.64,51.15,26.1,93.81,0.54509
41423.2,30992,87593.9,18433.8,14460,83546.2,71.4,23.52,30.66,-15.81,54.9,104.43,0.54509
62509.3,36323,112783,35334.6,20355,113765,92.4,94.92,30.66,26.97,63,125.67,0.546118
65254.7,50885,84043.1,21252.8,18065,77100.8,13.44,22.26,-7.56,59.52,-16.2,3.54,0.547147
116853,70451,108701,54931,33239,108305,79.8,92.4,10.5,64.17,61.2,198.83,0.548175
93844.8,69393,88628.7,27625.1,21451,84398.7,37.8,75.18,20.16,47.43,45,120.95,0.549204
52154.2,32948,103739,37973.9,27764,89636.1,56.28,87.78,-27.72,50.22,54,71.39,0.549204
85731.1,52659,106695,84439.3,44967,123064,233.52,160.02,258.3,144.15,263.7,451.94,0.554346
153352,96323,104337,71382.4,42343,110481,132.72,123.06,52.92,161.82,150.3,248.98,0.556403
