"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
78271.9,43274,118538,22167.6,14067,103275,441,279.3,275.94,108.81,327.6,8902.51,0.328616
69263.6,43787,103667,26812.8,17814,98641.7,3123.96,465.78,530.88,59.52,106.2,17163.7,0.328616
80437.7,49890,105664,26491.9,18402,94347.1,1983.24,364.14,387.24,96.72,161.1,14183.6,0.328616
38054.1,24045,103719,21205.8,15753,88220.9,567.84,191.52,167.58,39.06,99.9,6195.59,0.328616
61504.1,39818,101229,26247.5,19885,86505.1,1057.56,288.96,307.44,69.75,180.9,9804.03,0.329659
56921.9,39380,94729.1,17759.3,12820,90785.7,1396.08,375.06,353.64,85.56,114.3,11109.7,0.329659
74442.9,44604,109378,30114.8,20833,94734.6,570.36,246.96,379.26,79.05,230.4,9732.64,0.332789
83327.3,45336,120455,35818.4,24849,94466.5,2509.92,704.76,613.2,79.05,272.7,22425.3,0.332789
41222.3,20435,132202,31185.8,18939,107915,1464.12,413.7,463.68,101.37,223.2,11935.7,0.332789
28043.4,16436,111819,42785.4,24608,113946,417.48,225.54,229.32,54.87,85.5,4686.96,0.333832
114260,67262,111328,47430.6,29891,103992,2915.64,631.26,636.72,127.41,246.6,20697.2,0.333832
60743.9,40159,99128.8,36640,18683,128525,2103.36,267.12,226.8,37.2,46.8,8494.82,0.334875
82371.1,52944,101962,30824.6,22120,91325.7,2419.2,518.28,599.76,53.94,160.2,17771.4,0.334875
60581.5,47941,82815.7,10246.3,8493,79065.5,656.88,357.84,464.52,41.85,111.6,13804.2,0.34635
62029.8,41430,98121.8,21104.2,15274,90551.4,823.2,301.56,330.96,49.29,100.8,8426.38,0.34635
68285.7,51258,87306.8,22068.5,16606,87093.8,1054.2,417.06,592.62,27.9,173.7,15549.4,0.357826
45279.5,28246,105057,14685.7,11198,85947.8,735.84,346.92,412.86,62.31,110.7,10158.6,0.358869
56358.4,28435,129893,39497.6,24815,104313,2176.44,440.16,506.52,66.03,162.9,15957.1,0.360956
55645.1,29670,122911,24559.1,15002,107286,1312.08,217.56,363.72,34.41,180.9,9178.04,0.364085
86795.8,54706,103979,34467.7,24178,93426.9,1920.24,657.3,633.36,89.28,340.2,19372.1,0.365128
43994.3,32672,88247.1,10666.3,8220,85039.9,580.44,192.78,191.94,8.37,34.2,7750.24,0.366172
85326.5,54927,101807,22270.1,16719,87295.4,1163.4,323.82,427.56,56.73,139.5,12256.1,0.366172
55787.2,48985,74636.5,12776.4,10980,76258.1,733.32,153.72,216.72,10.23,108.9,5527.12,0.366172
68265.4,39082,114473,25603.2,16999,98707.6,1399.44,535.92,706.86,51.15,144.9,22498.5,0.366172
41203.4,28343,95272.4,17897,13711,85544.5,1008,310.8,317.1,14.88,128.7,9575.11,0.368258
60601.1,31563,125829,50745.2,24966,133207,3973.2,584.22,652.26,62.31,184.5,17494.7,0.369301
44520,21845,133562,57144.4,29029,129009,1373.4,635.46,908.04,53.01,323.1,18495.9,0.369301
43103.9,32856,85976.9,21561.1,16680,84714,1468.32,401.1,386.4,41.85,68.4,12725.1,0.369301
41463.1,21163,128400,35378.3,18191,127456,892.92,124.74,70.14,111.6,275.4,1870.89,0.371388
97966.4,58239,110241,60088.6,35058,112327,1765.68,577.92,522.9,105.09,259.2,17399.1,0.372431
50405.6,31531,104766,21010.1,15064,91404.5,1498.56,386.4,492.24,66.96,116.1,15527.6,0.373474
63060.2,38024,108687,19411.6,13880,91653.9,520.8,148.26,232.26,69.75,101.7,5112.94,0.374518
64652.7,38025,111429,34216.6,21901,102389,1662.36,960.54,1028.58,20.46,114.3,30723.7,0.374518
57164.1,38077,98387.6,17726.5,13177,88163.1,1185.24,358.68,454.44,0.93,46.8,13670.9,0.374518
