"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
72855.3,52059,91716,18385.9,14262,84486,1160.04,1040.76,1350.3,72.54,196.2,41303.5,0.419292
66490.9,46433,93845.9,24273.5,18573,85650.5,1084.44,1145.76,1394.4,39.99,249.3,42512.4,0.43393
50361.5,36914,89410.3,29416.8,15106,127622,457.8,496.44,549.78,33.48,86.4,17433.9,0.436021
65542.4,44321,96915.4,28514.6,20082,93055.2,582.96,739.62,854.7,54.87,136.8,23573.4,0.439158
61881.4,39814,101860,22174.3,16566,87722.8,1534.68,657.72,779.94,39.06,196.2,27689.9,0.440204
60077.5,41475,94930.4,26140.8,19195,89250.5,2150.4,753.48,966.42,48.36,194.4,25063.8,0.440204
60347.7,40925,96638.9,19123.4,14864,84316.1,388.92,582.12,558.6,72.54,166.5,17015,0.440204
40208.7,32582,80876.5,17556.8,14618,78711.5,220.92,284.34,391.44,31.62,54.9,11851.3,0.440204
68504.1,39794,112818,57374.5,36478,103078,4047.96,1169.28,1350.3,62.31,140.4,44639.4,0.44125
28716.1,17838,105502,50326.1,29241,112793,255.36,380.52,365.82,9.3,34.2,14437.3,0.442295
35324.8,18237,126942,38419.1,26381,95441.1,2808.96,2233.56,3047.52,50.22,252.9,91558.6,0.443341
62876.8,32612,126355,67659.5,36324,122072,3445.68,2133.6,2489.76,107.88,417.6,74140,0.443341
38904.6,25815,98766.3,30250.9,21295,93098.1,1034.04,657.3,947.1,43.71,79.2,28635.6,0.443341
41972.7,27245,100962,38569.4,27933,90491,991.2,1784.58,2472.96,53.94,173.7,52358.4,0.443341
75588.1,39316,125998,30324.8,15184,130886,429.24,816.06,754.74,136.71,230.4,27012.6,0.443341
55645.1,37462,97345.5,17475.4,12042,95105.9,1375.92,589.68,750.96,36.27,141.3,25542.9,0.444386
126655,78637,105554,78555.1,58352,88226.4,1261.68,2334.78,2847.6,78.12,269.1,82297.9,0.444386
63372.4,39942,103980,22668.2,16318,91039.7,1422.96,565.32,627.06,39.99,132.3,21382.2,0.445432
41397.3,27979,96966.1,16345.6,12459,85979.8,457.8,497.28,693.42,14.88,62.1,20290.7,0.446478
109662,65886,109079,81165.8,37326,142509,2645.16,2287.74,2766.12,171.12,361.8,83842.5,0.447523
82847.1,50659,107177,32320.7,17675,119840,2100,1769.46,2107.98,123.69,297.9,55932.6,0.447523
76935.6,51642,97634.7,23931.6,18874,83097.5,439.32,1071.42,1284.78,60.45,115.2,40170.7,0.448569
127103,74320,112081,119316,52044,150248,5115.6,5060.16,6202.14,377.58,1089.9,170564,0.448569
86473.8,57761,98113.7,19153.7,14785,84900.6,714,393.12,551.04,76.26,177.3,18160.8,0.45066
39723.6,23192,112251,42365.4,25340,109568,4.2,247.38,179.34,22.32,52.2,8241.12,0.451706
46511.5,28965,105237,24687.6,18073,89521.7,858.48,737.1,1068.48,75.33,151.2,24836,0.451706
51837.8,38809,87537.5,15471.1,11866,85447.1,876.96,565.74,833.28,55.8,104.4,21395.8,0.451706
51367.4,37585,89568,26345.8,20417,84566.6,496.44,411.6,534.66,30.69,72,19126.6,0.451706
55165.6,40251,89819.7,15081.4,12070,81886.7,600.6,1278.9,1321.32,28.83,95.4,48294.4,0.451706
95449.9,53997,115847,44903.9,23049,127677,1538.88,1587.6,1831.62,126.48,509.4,46103.2,0.451706
39264.4,29967,85868.9,28124.9,18642,98873.1,1674.96,1017.66,1126.86,35.34,103.5,42731.3,0.452751
92887.2,63588,95732.8,39228.8,28824,89193.1,845.04,722.4,1011.78,96.72,315,20446.4,0.452751
40103.7,29037,90513.3,36613.1,20765,115554,1645.56,1504.86,1995.84,79.05,350.1,53275.2,0.453797
62449.1,37339,109608,36888.6,19958,121131,2045.4,1303.68,1445.64,57.66,388.8,52494.7,0.453797
61555.2,41664,96824.2,15944.9,12720,82151.2,403.2,430.5,489.72,66.03,213.3,13688,0.456934
74514.3,43720,111696,38017.6,24504,101678,2042.04,1530.48,1993.32,38.13,243,62037.3,0.459025
75797.4,43901,113151,57567.7,32176,117254,3905.16,3171.42,3896.76,115.32,410.4,95903.9,0.460071
49742.7,34591,94242.4,21136.1,15746,87969.9,489.72,364.56,334.74,42.78,72,16163.6,0.462162
63322,44078,94148.3,21754.3,15363,92800.3,1130.64,995.82,1203.72,38.13,99,42038.7,0.462162
73224.2,48610,98720.9,25229.4,19710,83888.1,1164.24,897.96,999.18,80.91,146.7,36469.7,0.462162
37208.5,26311,92679.7,17360.3,13003,87497,270.48,241.92,344.82,2.79,71.1,11318,0.471572
65300.2,45519,94016,16826.9,12651,87168.3,485.52,493.92,712.32,46.5,88.2,17734.8,0.474709
80861.2,50243,105474,34440,19103,118152,740.04,846.3,1252.02,60.45,135,33996.4,0.474709
61398.4,43956,91541.7,21430.9,16420,85535.7,704.76,725.76,840.42,53.94,117.9,21064.2,0.474709
44119.6,32324,89451.2,19413.2,15240,83482,899.64,620.76,865.2,16.74,45,24988.3,0.475755
41090.7,33155,81222.1,21913.9,18879,76071.3,451.92,596.82,978.6,31.62,47.7,22753.9,0.478892
51088.1,34183,97946.6,22365.8,15015,97620.2,600.6,664.44,685.02,49.29,134.1,26720.5,0.479937
57944.6,41678,91114.2,20609.4,16291,82908.2,747.6,787.92,1060.5,39.06,95.4,32521.4,0.479937
56122.5,33861,108622,28880.9,20265,93399.3,677.88,651.42,874.86,53.94,252,17457.5,0.480983
60144,47431,83101.7,14799.1,12067,80374.2,819.84,575.4,658.56,43.71,128.7,23077.8,0.480983
48380.5,28236,112292,27709.1,18447,98441.1,771.12,692.16,956.34,72.54,173.7,25802.5,0.48412
38087,19846,125772,35568.1,17538,132911,1615.32,1601.46,1834.56,91.14,315.9,48985.3,0.488302
66441.2,41247,105566,20195.3,14683,90139.5,904.68,807.66,950.04,86.49,196.2,26375.4,0.491439
38299.8,24300,103293,26784.2,13685,128267,1657.32,891.24,832.44,131.13,324.9,24854.3,0.491439
