"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","(Event #%3) - 0.5 + (Event #/(4082 + 1))","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
243622,172059,119,156603,109328,117,-27,75,0,1.59895,22,108,0,107,139,0,57,99,0,41,56,0,1.52587
295085,196511,130,85818,62807,119,14,101,0,0.599437,133,139,0,5357,3994,50,70,82,0,-33,60,0,1.53173
282572,214637,117,114997,77134,123,-65,54,0,1.59968,138,117,0,3344,2575,39,-8,88,0,43,65,0,1.53368
254450,173933,123,104674,70489,116,-23,56,0,1.60115,-13,87,0,1624,1322,23,-21,22,0,-9,72,0,1.55125
223146,148884,124,229387,155100,126,68,40,0,0.601641,-98,56,0,1831,1212,21,-20,48,0,-147,35,0,1.55906
327390,208354,127,191056,124243,134,85,50,0,-0.397869,89,77,0,36425,27117,115,-37,48,0,55,81,0,1.57371
385630,218735,134,254462,120749,132,15,84,0,0.602376,136,169,0,2962,2078,40,52,76,0,-126,15,0,1.58152
125728,97775,115,148406,126386,108,109,112,0,1.60262,67,105,0,3185,2885,36,-61,68,0,-176,14,0,1.5864
254236,182544,122,83691,57985,120,2,61,0,1.60336,-65,61,0,1014,886,0,-60,62,0,-75,49,0,1.61373
379329,236806,130,164891,105436,128,28,64,0,-0.39493,41,89,0,1764,1390,25,-146,32,0,125,90,0,1.64107
369232,232599,128,190925,128326,127,-11,63,0,-0.394195,35,191,0,3017,2302,40,-17,65,0,-45,41,0,1.67426
368167,232429,129,181797,110533,137,121,66,0,0.606784,-6,79,0,3716,2525,44,146,108,0,-28,80,0,1.685
346330,228201,129,118579,82274,122,37,66,0,0.608254,35,82,0,942,754,0,-15,69,0,8,60,0,1.72112
291990,169795,131,238399,140593,130,101,46,0,1.60923,140,106,0,2436,1206,32,-16,43,0,6,39,0,1.73772
313561,214586,121,130986,85782,128,221,79,0,-0.390522,47,109,0,1956,1512,28,75,95,0,20,82,0,1.73869
183923,109647,133,129211,87464,119,95,75,0,1.60997,92,156,0,868,505,0,-13,45,0,56,49,0,1.75334
424679,267076,137,169826,96326,133,108,100,0,0.611193,20,77,0,1815,1264,25,138,97,0,-56,26,0,1.75919
191213,138205,130,87818,68672,112,155,82,0,1.61291,-13,77,0,7299,6275,52,-31,37,0,-46,17,0,1.78458
380505,237878,130,106020,63741,124,129,87,0,0.614132,30,115,0,2352,1682,34,-3,70,0,-14,60,0,1.81777
453957,271155,148,208280,118964,134,62,62,0,1.61438,-7,156,0,2574,1869,37,91,80,0,71,59,0,1.82363
306477,224519,118,250354,179710,124,0,66,0,-0.385378,-11,64,0,131,122,0,20,71,0,-176,22,0,1.8246
307118,210361,118,133074,92453,123,37,88,0,0.616336,25,99,0,2036,1567,29,28,72,0,-112,68,0,1.84608
287505,200932,123,105956,68966,116,-54,33,0,1.61658,8,114,0,1328,1026,8,-69,74,0,20,75,0,1.84803
284365,203630,126,110014,76777,117,76,95,0,-0.383174,18,50,0,94,105,0,-28,57,0,13,54,0,1.85486
271318,198585,115,89975,62910,119,26,45,0,0.617071,71,106,0,2491,1977,33,-84,74,0,-18,50,0,1.86072
263860,190137,131,85570,60904,115,17,81,0,1.61732,10,63,0,1458,1157,16,26,75,0,-69,55,0,1.86267
220734,166982,111,37510,28300,109,-89,43,0,0.617806,102,104,0,1301,1050,9,45,58,0,-41,32,0,1.86756
434814,253390,143,144480,81567,129,-115,58,0,0.61854,-99,44,0,3269,2219,43,145,95,0,-8,61,0,1.88318
424686,276419,146,377948,269786,129,14,54,0,1.61879,279,237,0,2362,2266,29,91,71,0,11,86,0,1.89196
286148,191588,119,99215,67779,121,-29,49,0,-0.380235,56,106,0,1453,1170,18,-41,51,0,-24,55,0,1.90075
258285,168548,124,139814,93843,121,159,107,0,-0.3795,92,99,0,1121,853,0,30,45,0,-17,110,0,1.91149
414037,263780,130,191754,120777,132,-54,32,0,1.62099,22,85,0,3856,2784,45,-170,28,0,-32,36,0,1.91637
209815,142763,132,82609,60460,114,-56,52,0,1.62172,97,114,0,1437,1073,12,-62,34,0,32,49,0,1.93589
338715,228942,128,143350,92261,122,132,139,0,-0.378031,125,92,0,1365,1114,13,1,62,0,-149,21,0,1.93589
345801,221344,130,125596,78652,124,39,84,0,0.622214,12,75,0,1863,1286,23,120,77,0,-45,51,0,1.93882
202137,152572,115,95364,74755,114,-11,69,0,-0.377296,93,117,0,1654,1462,23,-150,11,0,-2,61,0,1.9398
422268,256961,130,206952,124971,133,133,102,0,-0.376561,-8,96,0,2041,1348,30,63,90,0,-22,35,0,1.94663
286582,207221,115,87277,61513,116,-3,64,0,1.62393,32,73,0,1145,926,0,41,67,0,129,66,0,1.95542
127808,88554,115,163847,69016,110,60,53,0,-0.375827,-49,98,0,100,111,0,-16,39,0,-56,45,0,1.95932
281508,198222,131,83905,59198,118,31,49,0,0.624418,56,56,0,1319,1068,10,109,65,0,-54,55,0,1.96225
392270,219819,135,137055,85564,131,-26,74,0,1.62466,111,100,0,443,283,0,-77,38,0,74,60,0,1.96323
357938,216122,140,155182,94346,126,3,43,0,-0.374357,-4,92,0,2008,1307,25,-19,51,0,136,85,0,2.00228
487020,261507,143,233144,152728,140,196,113,0,-0.372153,279,245,0,4464,2702,53,21,69,0,-49,48,0,2.04328
438330,297486,130,147292,97363,124,-1,85,0,0.628092,11,70,0,2563,1986,36,-78,25,0,-53,64,0,2.04523
252419,191193,126,83554,60242,113,126,99,0,1.62834,49,113,0,2044,1840,28,-148,56,0,4,38,0,2.04914
763346,420032,157,427525,260682,151,242,97,0,0.629562,225,221,0,7774,4621,67,164,96,0,-19,37,0,2.08623
158446,131319,124,193305,160795,112,17,107,0,0.631031,63,70,0,882,850,0,-70,23,0,-11,52,0,2.10966
383864,238359,138,140451,90681,130,15,87,0,-0.368479,72,99,0,2755,2045,39,68,78,0,36,56,0,2.11552
268073,192401,123,71773,53215,112,-47,98,0,0.631766,33,74,0,1290,1129,13,-3,24,0,19,50,0,2.11747
310013,187117,124,152888,99007,124,86,81,0,-0.367744,61,81,0,1825,1342,25,-141,46,0,168,70,0,2.12919
208821,124808,134,138078,90937,139,86,91,0,0.63397,46,108,0,1327,978,0,-6,59,0,68,122,0,2.1536
242077,174222,115,79224,56903,112,-10,56,0,1.63421,24,95,0,1485,1145,16,14,49,0,24,50,0,2.15457
391441,241903,135,174531,105331,130,-53,96,0,1.63495,15,88,0,227,117,0,31,69,0,-96,67,0,2.16141
