"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
352863,208798,135,150729,110030,125,-62,42,0,164,102,0,1412,1127,14,-27,69,0,128,107,0,0.252568
445314,245995,143,209847,146091,134,74,86,0,148,117,0,8670,5902,64,-9,55,0,7,41,0,0.254518
238827,176256,119,70382,54656,112,23,86,0,144,121,0,941,747,0,56,91,0,-89,35,0,0.256469
246863,195118,120,90977,77322,113,17,65,0,12,85,0,2978,2761,36,-32,38,0,-11,61,0,0.258419
219033,149408,119,201830,149794,119,55,97,0,304,192,0,650,533,0,-76,32,0,-18,63,0,0.260369
308642,207132,125,184442,137202,119,140,101,0,53,123,0,6688,4915,56,-36,32,0,-14,86,0,0.260369
266806,190570,121,116054,83969,116,43,43,0,101,104,0,1555,1261,20,82,104,0,118,73,0,0.261344
209865,152282,118,144172,113020,115,143,101,0,148,150,0,211,244,0,35,79,0,-97,35,0,0.263295
194230,129348,118,114570,90463,113,-38,41,0,26,94,0,4436,3691,45,-34,27,0,98,87,0,0.273046
343433,237480,123,131094,90994,120,-60,57,0,153,134,0,2022,1518,28,14,86,0,34,83,0,0.276947
262187,193663,118,161157,124103,116,187,97,0,120,76,0,3257,2790,39,68,59,0,72,92,0,0.276947
140430,87823,114,147440,97371,119,38,46,0,319,220,0,174,171,0,57,73,0,-11,44,0,0.277922
308313,223902,137,106122,77704,116,42,55,0,28,133,0,3276,2544,40,10,47,0,64,50,0,0.277922
361537,205876,133,287342,172102,137,94,94,0,266,130,0,8002,5254,63,-36,84,0,15,67,0,0.288649
337239,210212,131,259483,183656,132,153,69,0,253,126,0,5544,3813,52,12,53,0,-40,45,0,0.29255
276149,208826,135,116404,96557,112,-12,56,0,23,69,0,4411,3725,44,54,74,0,-35,53,0,0.297426
233167,124413,127,274041,155229,131,1330,839,0,64,98,0,90,97,0,155,69,0,-3,40,0,0.303277
352794,244824,125,134026,88099,124,-127,35,0,52,123,0,3326,2552,41,-10,55,0,65,71,0,0.304252
201536,161710,122,61610,49011,107,22,66,0,14,75,0,1305,1196,15,122,76,0,28,111,0,0.304252
134198,113158,122,115130,96278,107,34,70,0,-7,150,0,115,171,0,1,47,0,-2,54,0,0.306202
458148,283418,130,184212,123699,129,32,89,0,178,86,0,1659,1469,23,-60,68,0,-20,62,0,0.309128
319671,166861,152,89321,54923,128,10,59,0,-51,106,0,1529,1024,6,59,83,0,-85,51,0,0.315954
172657,124034,110,254079,197248,116,8,134,0,305,273,0,501,482,0,88,77,0,-29,58,0,0.315954
273493,195217,124,123594,86459,119,-39,54,0,66,89,0,3571,2762,42,-179,13,0,31,79,0,0.316929
171586,128033,116,69846,55316,108,-35,67,0,-52,65,0,1522,1409,20,26,83,0,-1,68,0,0.317904
175055,114059,124,165997,125996,119,164,106,0,214,328,0,841,550,0,62,68,0,89,82,0,0.319854
330528,242346,123,123923,88079,118,-65,40,0,-32,87,0,4219,3265,46,140,87,0,-27,50,0,0.32278
369774,232991,132,200598,134944,129,-12,37,0,132,73,0,3127,2443,38,14,64,0,110,102,0,0.32278
223829,152234,127,43571,28245,114,52,60,0,-79,21,0,801,539,0,-48,55,0,-22,47,0,0.32473
343428,238220,124,153825,107232,122,2835,1980,36,116,86,0,47,99,0,-173,24,0,-104,38,0,0.327656
145065,104015,118,108080,85667,108,-151,36,0,19,47,0,162,176,0,-68,91,0,-59,32,0,0.334482
340940,231200,124,140581,98156,124,-29,57,0,72,99,0,8830,6798,58,62,76,0,-23,38,0,0.335457
175418,118287,132,173969,132781,128,63,67,0,113,124,0,722,436,0,159,130,0,24,51,0,0.335457
174332,115785,129,178109,121016,118,-35,71,0,119,84,0,97,132,0,50,95,0,-65,22,0,0.345209
322546,244598,115,178344,145409,114,6,77,0,134,116,0,2994,2437,39,41,91,0,-140,32,0,0.347159
338694,245604,117,150121,102528,116,1,75,0,128,109,0,3890,3016,43,135,115,0,101,98,0,0.347159
199121,136468,116,68451,51206,111,30,92,0,117,106,0,704,519,0,-1,44,0,-161,35,0,0.349109
213079,168422,124,100092,86090,111,96,77,0,-10,46,0,3496,2944,40,-22,51,0,78,64,0,0.349109
250046,192771,114,201149,168919,113,38,67,0,-43,48,0,3705,2975,42,65,80,0,78,73,0,0.349109
142052,106199,111,151270,120782,112,66,106,0,125,113,0,61,159,0,-27,52,0,-16,47,0,0.349109
260921,168574,122,285165,198936,128,251,98,0,502,443,0,1128,895,0,-53,56,0,19,94,0,0.350085
358490,245355,121,124522,80946,125,72,85,0,-92,26,0,7659,5697,57,10,81,0,172,105,0,0.350085
310429,197409,141,189394,132232,128,138,119,0,-2,128,0,7040,5221,55,-8,66,0,-38,37,0,0.355936
186511,128672,117,131528,92578,121,38,51,0,20,102,0,2000,1592,29,-134,25,0,27,65,0,0.357886
332865,237113,138,185952,149377,124,135,81,0,-34,77,0,3122,2371,40,-22,62,0,60,90,0,0.358861
133423,95043,108,133369,99099,112,70,65,0,176,165,0,2055,1611,29,-36,46,0,64,72,0,0.366662
246354,183378,126,93400,77635,114,14,66,0,7,92,0,1915,1467,27,35,56,0,-40,35,0,0.368613
291962,227798,117,110181,81165,115,23,73,0,127,137,0,2788,2174,34,25,54,0,91,76,0,0.369588
374008,207364,139,165434,101757,130,17,57,0,497,501,0,5564,3601,56,51,64,0,-13,47,0,0.372513
257821,180065,125,105797,80713,115,-74,46,0,54,112,0,2098,1765,31,-34,87,0,3,54,0,0.373489
315332,196692,121,149682,96172,122,12,43,0,41,100,0,258,230,0,11,51,0,-16,83,0,0.377389
402876,273618,132,180773,120606,125,68,75,0,188,169,0,3102,2367,38,-23,56,0,10,49,0,0.380315
182262,138690,120,180733,133024,113,197,114,0,343,354,0,237,144,0,-1,57,0,60,94,0,0.380315
338433,221383,142,165379,110882,127,5,63,0,152,120,0,3640,2593,45,92,55,0,-46,37,0,0.38129
207075,111949,133,26391,14206,86,78,66,0,-25,86,0,2229,1422,30,92,88,0,-25,57,0,0.38129
169190,121441,112,243440,173710,117,-9,91,0,202,163,0,345,392,0,61,82,0,-35,40,0,0.382265
300611,203970,128,323008,220376,126,81,98,0,468,380,0,1575,1431,20,-73,46,0,-51,54,0,0.38324
202529,140914,124,295787,194320,124,-33,70,0,398,297,0,478,346,0,32,63,0,92,80,0,0.38324
477508,263717,153,259604,158376,138,109,107,0,200,148,0,10061,6330,69,-23,80,0,53,95,0,0.38324
194966,151511,108,63698,48953,108,176,100,0,106,155,0,2136,1776,29,-12,41,0,-163,65,0,0.387141
266332,198149,130,115560,84538,116,13,80,0,91,95,0,1718,1406,23,-68,37,0,27,70,0,0.389091
300901,202423,127,144568,101477,122,50,100,0,-18,74,0,1271,1039,8,-24,102,0,167,107,0,0.389091
175087,148990,111,147827,116330,114,-128,106,0,218,280,0,501,418,0,-144,39,0,26,73,0,0.390066
261910,178329,136,88937,66857,119,15,65,0,59,132,0,2855,2294,35,-181,29,0,156,116,0,0.391041
349680,234711,126,151865,103438,124,65,68,0,86,188,0,4390,3214,46,4,57,0,39,76,0,0.391041
274816,198329,118,124833,101352,117,-30,51,0,30,114,0,3385,2558,41,48,66,0,-41,42,0,0.392017
206093,139726,119,222080,164159,118,134,92,0,254,230,0,367,334,0,-21,57,0,29,56,0,0.393967
297130,195167,125,147669,97033,121,-50,47,0,76,93,0,5227,4081,49,10,79,0,-132,24,0,0.394942
