"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
78245.3,51615,99348.7,20000.4,15202,86222,61.32,36.54,-12.18,37.2,33.3,71.39,0.417096
113429,70513,105423,21981.1,15853,90869.5,28.56,37.38,25.62,52.08,46.8,57.23,0.419208
41850.2,25615,107074,47880,26655,117721,82.32,117.18,32.76,45.57,15.3,120.95,0.420264
40436.9,30877,85826.8,33983,22832,97543.5,11.76,55.02,36.54,4.65,20.7,47.2,0.422376
90750.8,53458,111255,40535,32334,82158.2,28.56,57.96,23.94,19.53,45.9,158.71,0.422376
66400.6,55291,78704.1,16443.8,13743,78415.5,28.56,38.64,28.14,14.88,0,6.49,0.4266
66122,47555,91123.4,23993.8,18631,84399.9,47.04,39.48,82.74,0.93,31.5,82.01,0.429767
45303.3,35594,83412.9,13177.9,10862,79509.1,20.16,31.5,14.7,3.72,21.6,52.51,0.429767
54163.9,42293,83930.8,10423.6,8593,79497.1,31.92,16.8,9.24,16.74,18,25.96,0.439271
75955.6,57181,87053.9,24316.3,19001,83869,41.16,73.92,48.3,90.21,54,80.83,0.457222
102299,67898,98740.7,31741.9,22391,92905.1,90.72,60.06,7.98,62.31,86.4,92.04,0.462502
48132.7,28136,112113,39214.6,24780,103711,68.88,79.38,37.38,22.32,34.2,102.66,0.463558
100256,60544,108522,37548.8,19432,126637,102.48,110.04,60.9,86.49,130.5,155.17,0.467781
64578.5,49797,84989.4,35107.8,26057,88299.7,63.84,60.48,23.94,51.15,81,122.72,0.499459
67110.4,49231,89336.9,15787.8,12146,85186,30.24,39.06,10.08,23.25,44.1,37.76,0.511075
72789.5,54227,87969.7,32967.5,26191,82492.3,21,62.58,-4.62,22.32,27,81.42,0.524802
60869.2,42236,94448.4,21712.3,15921,89375,46.2,54.6,36.12,27.9,27,70.21,0.525858
59456.6,44790,86995.9,16365.7,13298,80654.5,32.76,18.06,14.28,40.92,51.3,31.86,0.526914
43053.5,30364,92924.3,13848.2,11125,81578.3,20.16,37.8,5.88,10.23,17.1,110.92,0.530082
69049.4,46727,96843.8,104614,80607,85054.8,338.52,247.38,280.98,-7.44,101.7,207.09,0.537473
123608,81214,99746.1,32842.3,23639,91051,69.72,52.92,24.36,55.8,38.7,155.76,0.549089
56779.1,40850,91091.2,18607.7,14222,85745.5,120.12,44.52,2.1,38.13,42.3,39.53,0.573375
86273.6,64631,87481.7,27495.7,21183,85066.3,30.24,18.48,33.6,24.18,24.3,92.63,0.574431
44256.1,31311,92630.9,22251.6,15195,95971.1,48.72,44.94,36.96,74.4,40.5,94.4,0.581823
