"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
99809.5,55498,117862,32732.3,21082,101752,108.36,57.54,18.48,180.42,8107.2,70.21,0.291503
52812.9,37394,92558.9,14234.6,11422,81674.1,42,36.96,-4.62,53.01,3865.5,32.45,0.296962
44198.7,29807,97178.7,24822,16066,101253,76.44,48.72,65.1,109.74,3417.3,33.04,0.299146
72126.6,52578,89902.4,15565.2,12382,82384.2,21,29.82,-66.36,98.58,3624.3,50.74,0.300238
30576.7,15555,128825,40887,21559,124290,42.84,89.04,78.96,16.74,1209.6,-0.59,0.304605
86350.6,59027,95872.6,19203.2,14799,85039.8,5.04,7.56,-12.18,88.35,4015.8,50.15,0.305696
59949.4,36716,107006,30983.4,22088,91929,22.68,62.58,61.32,104.16,5149.8,74.34,0.306788
48743.8,30935,103264,24733,20295,79866.9,53.76,54.18,6.3,135.78,8060.4,59,0.308972
76167.7,46267,107890,29361.4,21446,89724.2,39.48,49.98,0,135.78,5665.5,48.38,0.308972
57096.2,35822,104457,15395.5,10346,97521.8,33.6,34.02,3.78,66.96,3788.1,41.89,0.310064
107930,66794,105897,28824.6,20983,90027.6,40.32,106.26,16.38,133.92,8159.4,55.46,0.322073
80291.4,59533,88387.6,17472.8,13833,82780.3,38.64,11.76,-22.68,79.05,3119.4,74.93,0.322073
81073.3,55170,96306.3,23857.7,17934,87182.8,72.24,14.28,-16.8,96.72,3562.2,54.28,0.323165
37441.6,24249,101191,19091.5,13844,90377.2,52.92,102.48,-53.76,79.98,4912.2,47.2,0.323165
82396.3,44167,122262,52871.3,29487,117508,111.72,144.9,58.38,225.99,8071.2,149.27,0.323165
57015.7,37572,99451.2,18015.5,13296,88798.3,59.64,57.54,-5.46,90.21,3062.7,70.21,0.324257
42161,26712,103439,25003.4,18069,90687.1,11.76,50.82,-2.52,87.42,4698,41.89,0.327532
49544.6,26847,120943,37609.3,20898,117943,89.88,65.1,16.8,137.64,5066.1,68.44,0.328624
38620.4,26270,96346.7,17656,13514,85622.4,44.52,19.74,7.14,74.4,2945.7,33.63,0.328624
69888.7,39293,116566,76954.1,39277,128402,219.24,166.32,114.66,246.45,11684.7,126.26,0.329715
56987,38078,98080.3,20985.7,14979,91816.5,47.88,73.08,63.42,99.51,6324.3,37.76,0.330807
