"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","(Event #%5) - 0.5 + (Event #/(7059 + 1))","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
683266,367848,138,595973,327876,145,4249,2138,52,3.53598,2024,1208,35,242,197,0,999,608,0,8036,4700,65,0.590859
226161,164825,113,154074,103992,114,690,423,0,1.5364,464,323,0,-44,50,0,233,132,0,1778,1266,20,0.59502
258083,172985,135,99180,68696,120,507,334,0,3.53669,454,396,0,105,85,0,89,174,0,1617,1157,17,0.598141
280138,116161,171,336024,224374,160,13897,6887,103,0.536969,1643,1039,10,152,119,0,1089,645,0,8713,5259,80,0.602302
156883,127845,106,178926,125171,113,263,190,0,1.53711,351,380,0,121,107,0,199,163,0,744,523,0,0.604382
255044,170069,132,284481,207207,123,919,577,0,-0.462465,287,326,0,-62,65,0,232,138,0,1315,922,0,0.608543
265234,189558,117,184661,128039,120,287,222,0,1.53782,340,350,0,99,78,0,128,122,0,842,629,0,0.616865
310259,209333,125,190893,128140,130,920,465,0,0.539093,423,450,0,121,109,0,344,206,0,1743,1187,20,0.63663
427153,263548,131,327596,194774,139,2365,1070,30,1.53924,1234,1067,13,70,119,0,628,371,0,4362,2808,48,0.643911
256381,177259,129,86961,55671,129,750,526,0,-0.46034,237,132,0,-33,49,0,216,166,0,1129,770,0,0.652233
478810,279467,137,312379,177698,139,2372,1061,13,3.54023,1254,945,0,157,162,0,742,411,0,5601,3196,57,0.665756
249351,172962,119,138179,97527,122,1213,718,0,-0.459632,386,326,0,83,54,0,329,215,0,1623,1021,8,0.666797
413657,266220,130,215133,130648,132,4591,2370,52,1.54065,1265,965,0,80,85,0,724,437,0,5503,3327,52,0.668877
234634,164834,122,117402,92789,114,209,168,0,2.54079,194,192,0,13,63,0,214,143,0,757,629,0,0.671998
409375,258168,126,181578,104522,128,2052,1184,20,1.54136,561,424,0,92,156,0,550,287,0,3006,1714,41,0.678239
415741,244363,149,299848,145064,148,870,483,0,2.5415,626,458,0,-4,59,0,308,191,0,2807,1647,32,0.68032
213912,164394,112,97774,78659,109,228,115,0,3.54164,82,90,0,-1,68,0,140,67,0,203,209,0,0.68032
